player.email,player.ucid,participant.payoff,payoff_cad
test15@ucalgary.ca,1202022.0,5638.0,11.28
test16@gmail.com,102020.0,4939.0,9.88
test10@ubc.ca,22234.0,4900.0,9.8
test8@rotman.ca,202020.0,5371.0,10.74
testus@gmail.com,19019199.0,4482.0,8.96
aa@ucalgary.ca,2222222.0,4825.0,9.65
test_zero@gmail.com,0.0,5674.0,11.35
test15@gmail.co.uk,2222222.0,5134.0,10.27
test8@gmail.com,889900.0,5772.0,11.54
test7@gmail.com,6677788.0,4773.0,9.55
test6@ucalgary.ca,556766.0,5676.0,11.35
test5@ubc.ca,445566.0,4817.0,9.63
test4@gmail.com,334455.0,4459.0,8.92
test3@ucalgary.ca,223344.0,4759.0,9.52
test2@ucalgary.ca,112233444.0,5706.0,11.41
test1@ucalgary.ca,22334455.0,5027.0,10.05
